set3_id,DataVizRoles_collapsed,RoleAsFreelance,RoleAsEmployee,YearsDataVizExperience_buckets,PayCurrency_cleaned,PayAnnual,PayHourly,PayComparison,Loc1Country,OrgIndustry_,OrgIndustry_Finance,OrgIndustry_HealthMed,OrgIndustry_IT,OrgIndustry_Journalism,OrgIndustry_Marketing,OrgIndustry_ConsultantMulti,OrgIndustry_Other__,OrgSize,EmployChanged,EmployNewWanted,EducLevel,Gender_summarized
krNM,Employee,[\unasked],Analyst,1-5,EUR - Euro Member Countries,"$40,000 - $59,999",[^not answered],Similar,France,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Fewer than 20 employees,Yes,No,Master’s (or similar graduate degree),Woman
kqYT,Skipped question,[\unasked],Designer,1-5,CHF - Switzerland Franc,"$80,000 - $99,999",$150 - $174,Somewhat higher,Switzerland,3,[^not chosen],[^not chosen],x,[^not chosen],x,x,[^not chosen],Fewer than 20 employees,No,No,Master’s (or similar graduate degree),Woman
owIE,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,INR - India Rupee,"$40,000 - $59,999",I am not compensated on an hourly or project basis,Somewhat higher,India,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,Yes,Bachelor’s degree,Woman
wIdk,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",1,CHF - Switzerland Franc,I am not compensated on a yearly basis,$150 - $174,Somewhat lower,Switzerland,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Fewer than 20 employees,No,No,Master’s (or similar graduate degree),Man
WbpH,Employee,[\unasked],Analyst,1-5,DKK - Denmark Krone,"$80,000 - $99,999",[^not answered],Similar,Denmark,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],20–99 employees,No,No,Master’s (or similar graduate degree),Woman
kCVw,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,INR - India Rupee,"Less than $10,000",[^not answered],Somewhat higher,India,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",No,No,Bachelor’s degree,Man
GumB,Employee,None of these describes my role,Analyst,6-10,USD - United States Dollar,[^not answered],$200 - $224,[^not answered],United States,2,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],x,[^not chosen],Fewer than 20 employees,No,No,Bachelor’s degree,Man
EOwD,Employee,[\unasked],Developer,6-10,USD - United States Dollar,"$60,000 - $79,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Cooperative Extension,20–99 employees,No,No,Master’s (or similar graduate degree),Woman
kcuI,Academic,[\unasked],Analyst,6-10,AUD - Australia Dollar,"$60,000 - $79,999",I am not compensated on an hourly or project basis,Somewhat lower,Australia,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Arts and Cultural,Fewer than 20 employees,No,Yes,"Doctoral degree (e.g., PhD, EdD, PsyD)",Man
lMXa,Employee,[\unasked],Developer,1-5,USD - United States Dollar,"$80,000 - $99,999",[^not answered],Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],"1,000–4,999 employees",No,No,Bachelor’s degree,Woman
nece,Employee,[\unasked],Scientist,6-10,USD - United States Dollar,"$140,000 - $159,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Software; Digital coaching,500–999 employees,No,Yes,"Doctoral degree (e.g., PhD, EdD, PsyD)",Woman
wkPG,FreelanceAND,[\unasked],Designer,6-10,USD - United States Dollar,[^not answered],$60 - $74,Somewhat higher,United States,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",Yes,No,Master’s (or similar graduate degree),Woman
giAy,EmployeeANDFreelance,[\unasked],"Leadership (Manager, Director, VP, etc.)",6-10,USD - United States Dollar,"$120,000 - $139,999",[^not answered],Somewhat higher,United States,0,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,No,Master’s (or similar graduate degree),Woman
NuJq,Employee,[\unasked],Engineer,1-5,EUR - Euro Member Countries,"$60,000 - $79,999",[^not answered],Similar,Austria,3,[^not chosen],x,x,[^not chosen],[^not chosen],x,[^not chosen],100–499 employees,No,No,"Doctoral degree (e.g., PhD, EdD, PsyD)",Man
WnXq,Employee,[\unasked],None of these describes my role,1-5,GBP - United Kingdom Pound,"$60,000 - $79,999",I am not compensated on an hourly or project basis,Similar,United Kingdom,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],"1,000–4,999 employees",Yes,No,Bachelor’s degree,Woman
Oeno,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],100–499 employees,No,No,Bachelor’s degree,Man
nerq,Employee,[\unasked],Analyst,1-5,USD - United States Dollar,"$80,000 - $99,999",I am not compensated on an hourly or project basis,Somewhat lower,United States,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,Yes,No,Master’s (or similar graduate degree),Woman
VFMj,Employee,[\unasked],None of these describes my role,1-5,USD - United States Dollar,"Less than $10,000",[^not answered],Much lower,India,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],20–99 employees,No,Yes,Bachelor’s degree,Man
sgqx,Freelance,Analyst,Scientist,6-10,USD - United States Dollar,"$60,000 - $79,999",$45 - $59,Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],"1,000–4,999 employees",No,Yes,Master’s (or similar graduate degree),Man
KbPk,EmployeeAND,[\unasked],Analyst,6-10,USD - United States Dollar,"$80,000 - $99,999",[^not answered],Similar,United States,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",No,Yes,Master’s (or similar graduate degree),Woman
PJmu,Freelance,[\unasked],Analyst,6-10,GBP - United Kingdom Pound,"$80,000 - $99,999",[^not answered],Somewhat higher,United Kingdom,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Travel/Tourism,"5,000+ employees",No,No,Master’s (or similar graduate degree),Woman
rdPq,Freelance,[\unasked],None of these describes my role,6-10,EUR - Euro Member Countries,"$60,000 - $79,999",[^not answered],Similar,Netherlands,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",No,No,Bachelor’s degree,Woman
GCZR,EmployeeAND,Analyst,None of these describes my role,1-5,EUR - Euro Member Countries,[^not answered],[^not answered],Somewhat higher,Germany,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",No,Yes,Master’s (or similar graduate degree),Man
pHlz,Freelance,[\unasked],Developer,1-5,INR - India Rupee,"$10,000 - $19,999",I am not compensated on an hourly or project basis,Much lower,India,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,Yes,Bachelor’s degree,Woman
sqwJ,Employee,[\unasked],Analyst,1-5,USD - United States Dollar,"$140,000 - $159,999",I am not compensated on an hourly or project basis,Similar,United States,0,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",Yes,No,Master’s (or similar graduate degree),Man
rDUf,Freelance,[\unasked],Designer,1-5,USD - United States Dollar,"$140,000 - $159,999",I am not compensated on an hourly or project basis,Somewhat higher,United States,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,No,Bachelor’s degree,Woman
EfOA,Employee,[\unasked],Analyst,6-10,EUR - Euro Member Countries,"$60,000 - $79,999",I am not compensated on an hourly or project basis,Similar,Austria,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],20–99 employees,Yes,Yes,Master’s (or similar graduate degree),Woman
Pvrf,EmployeeANDFreelance,[\unasked],"Leadership (Manager, Director, VP, etc.)",6-10,USD - United States Dollar,"$80,000 - $99,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],public policy,100–499 employees,No,Yes,High school diploma,Self-described or Prefer not to say
OGGv,Freelance,[\unasked],"Leadership (Manager, Director, VP, etc.)",11-15,USD - United States Dollar,"$140,000 - $159,999",I am not compensated on an hourly or project basis,Much higher,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],"5,000+ employees",No,Yes,Master’s (or similar graduate degree),Man
QTiT,FreelanceAND,[\unasked],Developer,11-15,SEK - Sweden Krona,"$60,000 - $79,999",[^not answered],Somewhat lower,Sweden,0,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Fewer than 20 employees,No,No,Master’s (or similar graduate degree),Man
MZWy,Employee,[\unasked],Designer,1-5,USD - United States Dollar,"$120,000 - $139,999",[^not answered],Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],100–499 employees,No,Yes,Bachelor’s degree,Man
WIhz,EmployeeANDFreelanceAND,[\unasked],Designer,6-10,USD - United States Dollar,"$40,000 - $59,999",[^not answered],Somewhat lower,United States,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",No,Yes,Bachelor’s degree,Woman
qWlF,Employee,Analyst,Analyst,6-10,USD - United States Dollar,"$80,000 - $99,999",[^not answered],Similar,United States,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,Yes,Bachelor’s degree,Woman
jKzC,EmployeeANDFreelance,[\unasked],Engineer,1-5,USD - United States Dollar,"$240,000 or more",I am not compensated on an hourly or project basis,Much higher,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Entertainment,"5,000+ employees",No,No,Master’s (or similar graduate degree),Man
fNdo,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,USD - United States Dollar,"$220,000 - $239,999",[^not answered],Somewhat higher,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],"5,000+ employees",No,Yes,Master’s (or similar graduate degree),Man
IUrc,Employee,[\unasked],Developer,1-5,USD - United States Dollar,"$100,000 - $119,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,No,Master’s (or similar graduate degree),Woman
sNjK,EmployeeANDFreelance,[\unasked],Analyst,6-10,USD - United States Dollar,"$80,000 - $99,999",[^not answered],Similar,United States,2,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],"Aerospace, Geospatial","1,000–4,999 employees",No,Yes,Master’s (or similar graduate degree),Woman
YbJO,Employee,[\unasked],Analyst,6-10,USD - United States Dollar,"$120,000 - $139,999",I am not compensated on an hourly or project basis,Somewhat higher,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Auditing,100–499 employees,No,Yes,Master’s (or similar graduate degree),Man
oguK,Employee,[\unasked],Developer,6-10,USD - United States Dollar,"$80,000 - $99,999",I am not compensated on an hourly or project basis,Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Commercial real estate,"5,000+ employees",No,No,Bachelor’s degree,Woman
CFtq,Freelance,[\unasked],Developer,11-15,CRC - Costa Rica Colon,"$40,000 - $59,999",[^not answered],Somewhat higher,Costa Rica,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",Yes,No,Master’s (or similar graduate degree),Woman
BCUw,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,USD - United States Dollar,"$220,000 - $239,999",[^not answered],Similar,United States,2,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Insurance,500–999 employees,No,No,"Doctoral degree (e.g., PhD, EdD, PsyD)",Man
OwGV,Freelance,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,USD - United States Dollar,"$80,000 - $99,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Education,20–99 employees,No,Yes,"Doctoral degree (e.g., PhD, EdD, PsyD)",Woman
EFIn,Employee,[\unasked],Analyst,6-10,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Similar,United States,2,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,x,[^not chosen],100–499 employees,No,No,Master’s (or similar graduate degree),Man
sgJo,Employee,Designer,Cartographer,1-5,EUR - Euro Member Countries,"$80,000 - $99,999",$125 - $149,Somewhat higher,Belgium,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Government,20–99 employees,No,No,Master’s (or similar graduate degree),Man
bSru,Freelance,[\unasked],Analyst,1-5,EUR - Euro Member Countries,"$60,000 - $79,999",[^not answered],Similar,Germany,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Energy,20–99 employees,Yes,Yes,"Doctoral degree (e.g., PhD, EdD, PsyD)",Man
Gsjs,EmployeeAND,[\unasked],Designer,6-10,GBP - United Kingdom Pound,"$80,000 - $99,999",I am not compensated on an hourly or project basis,Somewhat higher,United Kingdom,3,[^not chosen],x,x,[^not chosen],[^not chosen],x,[^not chosen],100–499 employees,Yes,No,Master’s (or similar graduate degree),Man
uCcq,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,USD - United States Dollar,"$180,000 - $199,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Manufacturing,"5,000+ employees",No,No,Master’s (or similar graduate degree),Man
gKrq,Employee,[\unasked],Developer,6-10,USD - United States Dollar,"$60,000 - $79,999",[^not answered],Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],20–99 employees,Yes,Yes,Bachelor’s degree,Woman
vNjt,Freelance,[\unasked],Designer,6-10,USD - United States Dollar,I am not compensated on a yearly basis,I am not compensated on an hourly or project basis,Similar,Costa Rica,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Don’t know,Yes,No,Bachelor’s degree,Woman
ElRI,Freelance,[\unasked],Analyst,1-5,CAD - Canada Dollar,"$60,000 - $79,999",[^not answered],Similar,Canada,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,Yes,No,Bachelor’s degree,Man
neTN,Employee,[\unasked],Developer,6-10,USD - United States Dollar,"$200,000 - $219,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,No,Master’s (or similar graduate degree),Woman
owYh,Freelance,[\unasked],Developer,11-15,USD - United States Dollar,I am not compensated on a yearly basis,$45 - $59,[^not answered],United States,2,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],x,[^not chosen],Fewer than 20 employees,No,No,Master’s (or similar graduate degree),Woman
eABg,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,GBP - United Kingdom Pound,"$80,000 - $99,999",I am not compensated on an hourly or project basis,Similar,United Kingdom,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],20–99 employees,Yes,No,Master’s (or similar graduate degree),Man
CYdd,Employee,None of these describes my role,Analyst,1-5,USD - United States Dollar,"$80,000 - $99,999",$75 - $99,Somewhat higher,United States,3,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],x,Education; Scientific Research,"5,000+ employees",No,No,"Doctoral degree (e.g., PhD, EdD, PsyD)",Woman
IRaw,Employee,[\unasked],None of these describes my role,6-10,AUD - Australia Dollar,"$60,000 - $79,999",I am not compensated on an hourly or project basis,Similar,Australia,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],Fewer than 20 employees,Yes,No,Master’s (or similar graduate degree),Woman
ugQD,Employee,[\unasked],Developer,6-10,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Similar,United States,2,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],x,[^not chosen],"5,000+ employees",No,No,Bachelor’s degree,Woman
tsxr,Employee,[\unasked],Analyst,1-5,USD - United States Dollar,"$140,000 - $159,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Statistics and analysis,100–499 employees,No,Yes,Master’s (or similar graduate degree),Man
UllK,Employee,[\unasked],Scientist,1-5,USD - United States Dollar,"$80,000 - $99,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],500–999 employees,No,Yes,Master’s (or similar graduate degree),Self-described or Prefer not to say
ZYBz,EmployeeANDFreelanceAND,[\unasked],Designer,11-15,USD - United States Dollar,"$180,000 - $199,999",[^not answered],Much higher,United States,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,No,Master’s (or similar graduate degree),Woman
FjZT,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",6-10,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Education,"5,000+ employees",No,No,"Doctoral degree (e.g., PhD, EdD, PsyD)",Woman
woHp,EmployeeAND,[\unasked],Developer,1-5,USD - United States Dollar,"$60,000 - $79,999",[^not answered],Much higher,Russia,2,x,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",No,No,Master’s (or similar graduate degree),Woman
dpMt,Freelance,[\unasked],"Leadership (Manager, Director, VP, etc.)",26-30,USD - United States Dollar,"$120,000 - $139,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Credit Bureau,"5,000+ employees",No,Yes,Master’s (or similar graduate degree),Man
vgzN,Passive income,[\unasked],"Leadership (Manager, Director, VP, etc.)",16-20,COP - Colombia Peso,[^not answered],[^not answered],Somewhat higher,Colombia,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],servicios publicos,500–999 employees,Yes,Yes,Master’s (or similar graduate degree),Man
hEJa,Employee,[\unasked],Designer,1-5,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],500–999 employees,No,Yes,Master’s (or similar graduate degree),Woman
PxOB,Employee,[\unasked],Analyst,1-5,USD - United States Dollar,"$60,000 - $79,999",I am not compensated on an hourly or project basis,Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"Early Childhood Education and subsidies, non-profit",100–499 employees,No,No,Associate’s degree,Woman
Qfit,Employee,[\unasked],Analyst,11-15,GBP - United Kingdom Pound,"$80,000 - $99,999",I am not compensated on an hourly or project basis,Similar,United Kingdom,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Accommodation,"1,000–4,999 employees",Yes,No,Bachelor’s degree,Woman
tiyQ,Employee,[\unasked],Analyst,6-10,USD - United States Dollar,[^not answered],$30 - $44,Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Public administration,100–499 employees,No,Yes,Master’s (or similar graduate degree),Man
yJas,Employee,[\unasked],None of these describes my role,11-15,EUR - Euro Member Countries,"$40,000 - $59,999",[^not answered],Similar,France,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],20–99 employees,Yes,No,Master’s (or similar graduate degree),Woman
TOLd,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,CAD - Canada Dollar,"$140,000 - $159,999",I am not compensated on an hourly or project basis,Similar,Canada,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",No,No,Master’s (or similar graduate degree),Man
QsTz,FreelanceAND,[\unasked],Analyst,6-10,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Education,"5,000+ employees",No,Yes,Master’s (or similar graduate degree),Woman
GeNF,Employee,[\unasked],Analyst,6-10,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Higher Education,"5,000+ employees",No,No,"Doctoral degree (e.g., PhD, EdD, PsyD)",Woman
nKGa,Freelance,[\unasked],Journalist,6-10,USD - United States Dollar,"$60,000 - $79,999",[^not answered],Much lower,United States,0,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not answered],No,Yes,[\unfinished],[\unfinished]
bGvL,Employee,[\unasked],Analyst,6-10,USD - United States Dollar,"$20,000 - $39,999",I am not compensated on an hourly or project basis,Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],public library,100–499 employees,No,No,Bachelor’s degree,Woman
gsqm,Employee,[\unasked],Analyst,11-15,USD - United States Dollar,I am not compensated on a yearly basis,$30 - $44,[^not answered],United States,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,Yes,Master’s (or similar graduate degree),Woman
GkHH,Employee,[\unasked],Designer,6-10,USD - United States Dollar,"$80,000 - $99,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",No,Yes,Bachelor’s degree,Man
DrBE,Employee,[\unasked],Analyst,1-5,EUR - Euro Member Countries,"$60,000 - $79,999",[^not answered],[^not answered],Germany,2,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,Automobile,"1,000–4,999 employees",No,No,Bachelor’s degree,Woman
TNPQ,Employee,[\unasked],Analyst,1-5,BRL - Brazil Real,"$10,000 - $19,999",I am not compensated on an hourly or project basis,Similar,Brazil,2,x,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,Yes,Yes,Bachelor’s degree,Woman
yqcI,Employee,[\unasked],Analyst,6-10,USD - United States Dollar,"$80,000 - $99,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],"1,000–4,999 employees",No,Yes,Master’s (or similar graduate degree),Woman
JDox,Employee,[\unasked],Analyst,6-10,GBP - United Kingdom Pound,"$60,000 - $79,999",[^not answered],Similar,United Kingdom,2,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],x,[^not chosen],"5,000+ employees",No,Yes,Bachelor’s degree,Man
dNyn,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",6-10,USD - United States Dollar,"$80,000 - $99,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"Philanthropy and Direct Service Programming (Basic Needs, Education, Economic Mobility, Crisis Relief)",100–499 employees,No,No,Master’s (or similar graduate degree),Woman
QITK,Employee,[\unasked],Analyst,11-15,EUR - Euro Member Countries,"$40,000 - $59,999",I am not compensated on an hourly or project basis,Similar,Germany,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Research Institution,"5,000+ employees",Yes,Yes,Master’s (or similar graduate degree),Man
VWYR,Employee,[\unasked],Analyst,16-20,USD - United States Dollar,"$10,000 - $19,999",I am not compensated on an hourly or project basis,Much lower,Poland,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],20–99 employees,Yes,No,Master’s (or similar graduate degree),Man
qSbV,EmployeeANDFreelance,[\unasked],"Leadership (Manager, Director, VP, etc.)",More than 30,USD - United States Dollar,"$120,000 - $139,999",I am not compensated on an hourly or project basis,Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Defense,100–499 employees,No,Yes,Bachelor’s degree,Woman
ptLn,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",21-25,BRL - Brazil Real,"$40,000 - $59,999",[^not answered],Similar,Brazil,2,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],x,[^not chosen],"1,000–4,999 employees",Yes,Yes,Master’s (or similar graduate degree),Woman
cjwo,Employee,[\unasked],Scientist,16-20,USD - United States Dollar,"$100,000 - $119,999",I am not compensated on an hourly or project basis,Somewhat higher,United States,0,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],,"5,000+ employees",No,No,Master’s (or similar graduate degree),Woman
yUmU,Employee,[\unasked],Developer,1-5,USD - United States Dollar,"$80,000 - $99,999",I am not compensated on an hourly or project basis,Somewhat lower,United States,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,Yes,Bachelor’s degree,Man
bhvi,Employee,[\unasked],Designer,16-20,USD - United States Dollar,"$80,000 - $99,999",[^not answered],Somewhat higher,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],20–99 employees,No,Yes,Master’s (or similar graduate degree),Man
IZyP,Employee,[\unasked],Analyst,6-10,EUR - Euro Member Countries,"$80,000 - $99,999",$60 - $74,Somewhat higher,Spain,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Hospitality and Tourism,"1,000–4,999 employees",No,No,Master’s (or similar graduate degree),Man
exnR,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",16-20,USD - United States Dollar,"$140,000 - $159,999",[^not answered],Similar,United States,0,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",Yes,No,[^not answered],Man
uUmI,Employee,[\unasked],Analyst,6-10,USD - United States Dollar,"$80,000 - $99,999",[^not answered],Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Real Estate,"5,000+ employees",No,No,Bachelor’s degree,Woman
kqax,Employee,[\unasked],Analyst,16-20,USD - United States Dollar,"$140,000 - $159,999",[^not answered],Similar,United States,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,No,Master’s (or similar graduate degree),Man
qAkO,EmployeeAND,Teacher,Teacher,1-5,USD - United States Dollar,I am not compensated on a yearly basis,$75 - $99,Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Education / E-Learning,20–99 employees,Yes,Yes,Bachelor’s degree,Man
